Date,tickerYF,Close
2019-11-14,MRNA,18.34
2019-11-15,MRNA,19.37
2019-11-18,MRNA,19.45
2019-11-19,MRNA,19.36
2019-11-20,MRNA,20.18
2019-11-21,MRNA,20.2
2019-11-22,MRNA,20.69
2019-11-25,MRNA,20.0
2019-11-26,MRNA,20.33
2019-11-27,MRNA,20.37
2019-11-29,MRNA,20.36
2019-12-02,MRNA,19.76
2019-12-03,MRNA,21.28
2019-12-04,MRNA,21.27
2019-12-05,MRNA,20.64
2019-12-06,MRNA,18.94
2019-12-09,MRNA,18.78
2019-12-10,MRNA,18.87
2019-12-11,MRNA,18.65
2019-12-12,MRNA,18.45
2019-12-13,MRNA,18.62
2019-12-16,MRNA,18.52
2019-12-17,MRNA,18.44
2019-12-18,MRNA,18.64
2019-12-19,MRNA,19.41
2019-12-20,MRNA,19.83
2019-12-23,MRNA,19.7
2019-12-24,MRNA,19.75
2019-12-26,MRNA,19.86
2019-12-27,MRNA,19.52
2019-12-30,MRNA,19.05
2019-12-31,MRNA,19.56
2020-01-02,MRNA,19.23
2020-01-03,MRNA,18.89
2020-01-06,MRNA,18.13
2020-01-07,MRNA,17.78
2020-01-08,MRNA,17.98
2020-01-09,MRNA,18.4
2020-01-10,MRNA,19.14
2020-01-13,MRNA,20.26
2020-01-14,MRNA,20.0
2020-01-15,MRNA,20.24
2020-01-16,MRNA,21.01
2020-01-17,MRNA,20.62
2020-01-21,MRNA,20.94
2020-01-22,MRNA,21.97
2020-01-23,MRNA,21.47
2020-01-24,MRNA,21.12
2020-01-27,MRNA,22.74
2020-01-28,MRNA,22.36
2020-01-29,MRNA,20.55
2020-01-30,MRNA,20.99
2020-01-31,MRNA,20.51
2020-02-03,MRNA,20.38
2020-02-04,MRNA,20.87
2020-02-05,MRNA,20.05
2020-02-06,MRNA,19.88
2020-02-07,MRNA,23.24
2020-02-10,MRNA,23.65
2020-02-11,MRNA,21.35
2020-02-12,MRNA,19.01
2020-02-13,MRNA,19.05
2020-02-14,MRNA,19.0
